2012,2013,2014,2015,institution
,,590,600,LSU Health Sciences Center New Orleans
,,591,590,Southern Illinois University Carbondale
,,592,601,Tata Institute of Fundamental Research
,,593,565,Aalborg University
,,594,598,Osaka Prefecture University
,,595,563,Chang Gung University
,,596,643,Northern Illinois University
,,597,561,University of Trento
,,598,617,Semmelweis University
,,599,530,University of Science and Technology Beijing
,,600,558,"National University of Ireland, Galway"
,,601,834,Dankook University
,,602,623,Istanbul University
,,603,624,Tokyo University of Agriculture and Technology
,,604,585,University of Montana - Missoula
,,605,621,Queensland University of Technology
,,606,647,Binghamton University
,,607,730,Université de Namur
,,608,523,University of Tasmania
,,609,678,University of Pretoria
,,610,572,Central China Normal University
,,611,638,Indian Institute of Technology Roorkee
,,612,595,Curtin University
,,613,579,Deakin University
,,614,689,Tilburg University
,,615,578,Inha University
,,616,609,University of New Orleans
,,617,633,Paris-Est Créteil Val-de-Marne University
,,618,680,University of L'Aquila
,,619,628,Chungnam National University
,,620,637,University of Salamanca
,,621,591,University of Alaska Fairbanks
,,622,675,University of Poitiers
,,623,650,Albany Medical College
,,624,698,"Birkbeck, University of London"
,,625,613,Griffith University
,,626,589,Federal University of São Paulo
,,627,593,Carleton University
,,628,658,Massey University
,,629,511,Catholic University of Korea
,,630,631,Open University (UK)
,,631,641,University of Patras
,,632,612,Universidade Nova de Lisboa
,,633,616,Texas A&M Health Science Center
,,634,636,Braunschweig University of Technology
,,635,544,National Chung Hsing University
,,636,645,La Trobe University
,,637,718,Missouri University of Science and Technology
,,638,655,University of Idaho
,,639,625,Louisiana Tech University
,,640,597,University of Portsmouth
,,641,603,University of La Laguna
,,642,605,Florida International University
,,643,574,Medical University of Graz
,,644,719,Howard University
,,645,604,University of Hertfordshire
,,646,635,State University of New York Upstate Medical University
,,647,711,Royal College of Surgeons in Ireland
,,648,695,National Technical University of Athens
,,649,538,University of Windsor
,,650,644,Rovira i Virgili University
,,651,654,University of Burgundy
,,652,608,Gunma University
,,653,782,AGH University of Science and Technology
,,654,670,Gifu University
,,655,634,Hacettepe University
,,656,639,Örebro University
,,657,611,Memorial University of Newfoundland
,,658,737,Kindai University
,,659,606,University of Rhode Island
,,660,681,University of Alicante
,,661,761,New Jersey Institute of Technology
,,662,618,Lille 2 University of Health and Law
,,663,674,Keele University
,,664,671,University of Jyväskylä
,,665,710,Rochester Institute of Technology
,,666,713,Sapporo Medical University
,,667,679,Banaras Hindu University
,,668,704,King Abdullah University of Science and Technology
,,669,640,Northeast Normal University
,,670,661,Portland State University
,,671,663,University of Québec at Montreal
,,672,586,East China Normal University
,,673,667,University of Debrecen
,,674,665,Loma Linda University
,,675,656,Old Dominion University
,,676,676,University of Insubria
,,677,687,"University of Nevada, Las Vegas"
,,678,649,Hong Kong Baptist University
,,679,629,University of Minho
,,680,690,University of Messina
,,681,626,University of Texas at Arlington
,,682,699,"University François Rabelais, Tours"
,,683,664,"UNESP, São Paulo State University"
,,684,727,Toho University
,,685,642,Beijing University of Chemical Technology
,,686,723,"Rutgers, The State University of New Jersey - Newark"
,,687,715,Johannes Kepler University of Linz
,,688,646,Warsaw University of Technology
,,689,672,University of Paris 13
,,690,666,University of Toyama
,,691,592,University of Toledo
,,692,686,University of Vigo
,,693,692,University of Kent
,,694,722,Jichi Medical University
,,695,701,Roma Tre University
,,696,875,Chung Yuan Christian University
,,697,700,University of Haifa
,,698,735,Åbo Akademi University
,,699,729,Swansea University
,,700,627,China Agricultural University
,,701,662,Marche Polytechnic University
,,702,668,"University of Maine, Orono"
,,703,707,Heriot-Watt University
,,704,717,Marquette University
,,705,694,Loughborough University
,,706,691,Kaiserslautern University of Technology
,,707,720,Aston University
,,708,673,University of Girona
,,709,733,Hasselt University
,,710,804,Nanjing University of Science and Technology
,,711,743,"University of Natural Resources and Life Sciences, Vienna"
,,712,731,University of Szeged
,,713,615,Soochow University (Suzhou)
,,714,660,University of the Balearic Islands
,,715,706,Fuzhou University
,,716,746,University of Memphis
,,717,712,San Francisco State University
,,718,762,East Carolina University
,,719,739,University of Augsburg
,,720,748,University of Missouri–St. Louis
,,721,728,Kyoto Prefectural University of Medicine
,,722,684,Shanghai University
,,723,751,University of South Australia
,,724,696,Liverpool John Moores University
,,725,669,Graz University of Technology
,,726,732,Kitasato University
,,727,794,University of North Carolina at Charlotte
,,728,747,"G. d'Annunzio University, Chieti-Pescara"
,,729,709,University of Cantabria
,,730,767,Miguel Hernández University of Elche
,,731,659,Donghua University
,,732,685,Comenius University in Bratislava
,,733,752,University of Alabama in Huntsville
,,734,780,Mie University
,,735,784,University of Stirling
,,736,850,Hunter College
,,737,688,Swinburne University of Technology
,,738,683,University of Ulster
,,739,750,University of Évry Val d'Essonne
,,740,703,University of Salerno
,,741,744,National University of La Plata
,,742,702,Masaryk University
,,743,657,Yamaguchi University
,,744,759,University of Yamanashi
,,745,800,Showa University
,,746,792,North Dakota State University - Main Campus
,,747,778,"University of North Texas, Denton"
,,748,754,University of Mississippi Medical Center
,,749,768,University of Tehran
,,750,740,"Paul Valéry University, Montpellier III"
,,751,677,Wuhan University of Technology
,,752,763,University of Hyogo
,,753,832,The Catholic University of America
,,754,758,University of Neuchâtel
,,755,786,National Polytechnic Institute
,,756,775,Jikei University School of Medicine
,,757,841,University of Valladolid
,,758,745,University of Calabria
,,759,552,University of Lübeck
,,760,771,Kurume University
,,761,423,Peking Union Medical College
,,762,760,Yamagata University
,,763,734,University of Córdoba (Spain)
,,764,741,University of Mons
,,765,773,Saga University
,,766,835,Clarkson University
,,767,844,University of South Alabama
,,768,813,Inje University
,,769,797,University of Caen Lower Normandy
,,770,738,University of Castilla–La Mancha
,,771,716,Czech Technical University in Prague
,,772,798,Saitama Medical University
,,773,742,Istanbul Technical University
,,774,757,Kaohsiung Medical University
,,775,840,University of Electro-Communications
,,776,770,Yeungnam University
,,777,777,Jawaharlal Nehru Centre for Advanced Scientific Research
,,778,610,"Putra University, Malaysia"
,,779,772,Institut national des sciences Appliquées de Lyon
,,780,822,University of Perpignan Via Domitia
,,781,839,University of Miyazaki
,,782,776,Second Military Medical University
,,783,766,Northern Arizona University
,,784,781,École Polytechnique de Montréal
,,785,765,University of Salento
,,786,862,Fukuoka University
,,787,827,Nagoya Institute of Technology
,,788,725,Ankara University
,,789,769,Blaise Pascal University
,,790,783,University of Electronic Science and Technology of China
,,791,803,National Sun Yat-sen University
,,792,831,University of Rouen
,,793,809,Bowling Green State University
,,794,789,Norwegian University of Life Sciences
,,795,764,University of Picardie Jules Verne
,,796,790,Michigan Technological University
,,797,805,University of Concepción
,,798,708,China Medical University (Taiwan)
,,799,793,University of Hohenheim
,,800,814,Aberystwyth University
,,801,907,Wilfrid Laurier University
,,802,796,Cairo University
,,803,799,University of Murcia
,,804,724,"Palacký University, Olomouc"
,,805,807,Taipei Medical University
,,806,821,University of Bradford
,,807,847,King Fahd University of Petroleum and Minerals
,,808,779,Ege University
,,809,726,University of Belgrade
,,,,University of Eastern Piedmont 
,,811,819,Budapest University of Technology and Economics
,,812,753,University of Salzburg
